Food_ID,m49code,country,region,cpc_code,commodity,year,loss_percentage,activity,food_supply_stage,cause_of_loss,,,,,,,
1,104,Myanmar,,113,Rice,1994,2.1,,Harvest,"Too Mature, Leading To Breakage",,,,,,,
2,104,Myanmar,,113,Rice,1994,0.5,,Farm,Field Stacking And Bundling,,,,,,,
3,104,Myanmar,,113,Rice,1994,2.1,Harvesting,Harvest,Combine-Harvester,,,,,,,
4,104,Myanmar,,113,Rice,1994,5.4,,Harvest,Shoulder Power Reaper,,,,,,,
5,104,Myanmar,,113,Rice,1994,5.2,,Farm,Reaper-Binder,,,,,,,
6,104,Myanmar,,113,Rice,1994,1.9,,Harvest,Traditional Hand Cutting,,,,,,,
7,104,Myanmar,,23161.02,"Rice, milled",2015,1.78,Storage,Storage,Rodents,,,,,,,
8,104,Myanmar,,23161.02,"Rice, milled",2015,11.77,Storage,Storage,Rodents,,,,,,,
9,104,Myanmar,,23161.02,"Rice, milled",2015,5.88,Storage,Storage,Rodents,,,,,,,
10,104,Myanmar,,23161.02,"Rice, milled",2015,3.57,Storage,Storage,Rodents,,,,,,,
11,104,Myanmar,,23161.02,"Rice, milled",2015,17.65,Storage,Storage,Rodents,,,,,,,
12,104,Myanmar,,23161.02,"Rice, milled",2015,5.35,Storage,Storage,Rodents,,,,,,,
13,108,Burundi,,1701,"Beans, dry",1992,30,,Storage,,,,,,,,
14,108,Burundi,,111,Wheat,2000,3.5,"Shelling, Threshing",,,,,,,,,
15,108,Burundi,,111,Wheat,2000,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
16,108,Burundi,,111,Wheat,2000,2.5,Transportation,Farm,,,,,,,,
17,108,Burundi,,111,Wheat,2000,4.86667,Storage,Farm,,,,,,,,
18,108,Burundi,,112,Maize (corn),2000,5.26375,Storage,Farm,,,,,,,,
19,108,Burundi,,112,Maize (corn),2000,6.42,"Drying, Harvesting",Harvest,,,,,,,,
20,108,Burundi,,112,Maize (corn),2000,2.35714,Transportation,Farm,,,,,,,,
21,108,Burundi,,112,Maize (corn),2000,4,Drying,Farm,,,,,,,,
22,108,Burundi,,112,Maize (corn),2000,1.32,"Shelling, Threshing",,,,,,,,,
23,108,Burundi,,113,Rice,2000,3.13714,"Shelling, Threshing",,,,,,,,,
24,108,Burundi,,113,Rice,2000,1.25,Transportation,Farm,,,,,,,,
25,108,Burundi,,113,Rice,2000,4.40333,"Drying, Harvesting",Harvest,,,,,,,,
26,108,Burundi,,113,Rice,2000,2.5,Winnowing,Farm,,,,,,,,
27,108,Burundi,,113,Rice,2000,1.2,Storage,Farm,,,,,,,,
28,108,Burundi,,114,Sorghum,2000,3.6,"Shelling, Threshing",,,,,,,,,
29,108,Burundi,,114,Sorghum,2000,2.16667,Transportation,Farm,,,,,,,,
30,108,Burundi,,114,Sorghum,2000,4.55,"Drying, Harvesting",Harvest,,,,,,,,
31,108,Burundi,,114,Sorghum,2000,2.69444,Storage,Farm,,,,,,,,
32,108,Burundi,,118,Millet,2000,2.5,Winnowing,Farm,,,,,,,,
33,108,Burundi,,118,Millet,2000,2.5,Transportation,Farm,,,,,,,,
34,108,Burundi,,118,Millet,2000,2,"Shelling, Threshing",,,,,,,,,
35,108,Burundi,,118,Millet,2000,1.175,Storage,Farm,,,,,,,,
36,108,Burundi,,118,Millet,2000,3.5,"Drying, Harvesting",Harvest,,,,,,,,
37,108,Burundi,,111,Wheat,2001,4.43333,"Drying, Harvesting",Harvest,,,,,,,,
38,108,Burundi,,111,Wheat,2001,2.5,Transportation,Farm,,,,,,,,
39,108,Burundi,,111,Wheat,2001,4.86667,Storage,Farm,,,,,,,,
40,108,Burundi,,111,Wheat,2001,3.5,"Shelling, Threshing",,,,,,,,,
41,108,Burundi,,112,Maize (corn),2001,4,Drying,Farm,,,,,,,,
42,108,Burundi,,112,Maize (corn),2001,2.35714,Transportation,Farm,,,,,,,,
43,108,Burundi,,112,Maize (corn),2001,6.42,"Drying, Harvesting",Harvest,,,,,,,,
