11,Cereals
12,Vegetables
13,Fruit and nuts
14,Oilseeds and oleaginous fruits
15,Edible roots and tubers with high starch or inulin content
16,"Stimulant, spice and aromatic crops"
17,Pulses (dried leguminous vegetables)
18,Sugar crops
19,"Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials"
21,Live animals
22,Raw milk
23,"Eggs of hens or other birds in shell, fresh"
24,Reproductive materials of animals
29,Other animal products
32,"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms"
211,Meat and meat products
212,"Prepared and preserved fish, crustaceans, molluscs and other aquatic invertebrates"
213,"Prepared and preserved vegetables, pulses and potatoes"
214,Prepared and preserved fruit and nuts
215,Animal fats
216,Vegetable oils
217,Margarine and similar preparations
218,Cotton linters
219,"Oil-cake and other residues resulting from the extraction of vegetable fats or oils; flours and meals of oil seeds or oleaginous fruits, except those of mustard; vegetable waxes, except triglycerides; degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes"
221,Processed liquid milk and cream and whey
222,Other dairy products
223,"Eggs, in shell, preserved or cooked"
231,Grain mill products
232,Starches and starch products; sugars and sugar syrups n.e.c.
233,Preparations used in animal feeding; lucerne (alfalfa) meal and pellets
234,Bakery products
235,Sugar and molasses
236,"Cocoa, chocolate and sugar confectionery"
237,"Macaroni, noodles, couscous and similar farinaceous products"
239,Food products n.e.c.
241,"Ethyl alcohol; spirits, liqueurs and other spirituous beverages"
242,Wines
243,Malt liquors and malt
244,Soft drinks; bottled mineral waters
250,Tobacco products
261,Natural textile fibres prepared for spinning
