region,Reg_ID,m49code
"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar",1,116
"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar",2,116
"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar",3,116
"Kandal Province, and wholesalers and retailers in wet markets in the capital of Phnom Penh, about 35 km apar",4,116
Boyo,5,120
Boyo,6,120
Boyo,7,120
Boyo,8,120
Boyo,9,120
North Patagonia Region,10,152
Fujian Province,11,156
Fujian Province,12,156
Fujian Province,13,156
"Daxing, Tongxian, and Yanqing",14,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",15,156
Shandong Province,16,156
"Daxing, Tongxian, and Yanqing",17,156
Jiangan district,18,156
Fujian Province,19,156
Fujian Province,20,156
"Daxing, Tongxian, and Yanqing",21,156
Xiasha town,22,156
"Daxing, Tongxian, and Yanqing",23,156
Cixi county,24,156
Xiasha Town,25,156
Jiangan district,26,156
Fujian Province,27,156
Shandong Province,28,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",29,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",30,156
Jiangan district,31,156
Cixi county,32,156
Xiasha Town,33,156
Shandong Province,34,156
Cixi county,35,156
Cixi county,36,156
Shandong Province,37,156
Xiasha town,38,156
Shandong Province,39,156
Xiasha Town,40,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",41,156
"Daxing, Tongxian, and Yanqing",42,156
Fujian Province,43,156
Fujian Province,44,156
"Daxing, Tongxian, and Yanqing",45,156
"Daxing, Tongxian, and Yanqing",46,156
"Daxing, Tongxian, and Yanqing",47,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",48,156
Jiangan district,49,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",50,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",51,156
Xiasha Town,52,156
Xiasha Town,53,156
"Daxing, Tongxian, and Yanqing",54,156
"Daxing, Tongxian, and Yanqing",55,156
"Daxing, Tongxian, and Yanqing",56,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",57,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",58,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",59,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",60,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",61,156
"Daxing, Tongxian, and Yanqing counties, which are satellite towns of Beijing, and in Jixian County of Hebei Province, which is a suburb very close to Beijing",62,156
